"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"717474","CR-0000102498","0","1","0","0","24-079-0695","False","False","0","3/19/2024 6:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Motorcycle","Not Applicable","Not Applicable","At","","False","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"694318","CR-0000098262","0","1","0","0","23-181-0285","False","False","0","6/30/2023 10:46:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At","BIKE","False","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"698759","CR-0000100040","0","1","0","0","23-361-0584","False","False","0","12/27/2023 3:20:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"681623","CR-0000091020","1","0","0","0","22-057-0897","False","False","95","2/26/2022 10:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"681503","CR-0000090893","0","0","0","0","22-036-0111","False","False","135","2/5/2022 2:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Unknown","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of","","False","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"681959","CR-0000091468","0","0","0","0","22-081-0638","False","False","65","3/22/2022 4:02:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 2","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","True","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"682316","CR-0000091879","1","0","0","0","22-097-0908","False","False","0","4/7/2022 8:21:00 PM","No Pedestrians Involved","Unknown","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Unknown","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","85590","LOUPE AV","MCLAUGHLIN AV","37.30296002","-121.8247077"
"724014","CR-0000104410","0","2","1","0","24-132-0336","True","False","41","5/11/2024 10:35:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","South Of","MEDIAN","True","False","89990","MCLAUGHLIN AV","SYLVIA DR","37.30445898","-121.8261543"
"723773","CR-0000104169","0","0","1","0","24-126-0732","True","False","30","5/5/2024 7:35:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Related","Parked Vehicle","Not Applicable","Not Applicable","West Of","TREE, CURB","True","False","127445","BRODIE DR","CLEARBROOK CT","37.29090606","-121.8257859"
"689148","CR-0000094992","0","0","0","0","22-313-0672","False","False","0","11/9/2022 4:48:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Cloudy","Head On","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","127445","BRODIE DR","CLEARBROOK CT","37.29090606","-121.8257859"
"689111","CR-0000094966","1","0","0","0","22-300-0571","False","False","0","10/27/2022 10:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","East Of","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"682548","CR-0000092115","2","0","0","0","22-128-0435","False","False","0","5/8/2022 1:55:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"698679","CR-0000099916","2","0","0","0","23-231-0423","False","False","0","8/19/2023 2:00:00 PM","No Pedestrians Involved","Dry","Unknown","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"711847","CR-0000101532","0","0","0","0","23-347-0577","False","False","0","12/13/2023 2:52:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"726753","CR-0000105293","1","0","0","0","24-187-0352","False","False","0","7/5/2024 9:35:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"717435","CR-0000102459","2","0","0","0","24-085-0279","False","False","0","3/25/2024 9:43:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"716260","CR-0000102253","1","0","0","0","24-035-0126","False","False","173","2/4/2024 3:30:00 AM","No Pedestrians Involved","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Rain","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of","","False","False","4300","ALMADEN AV","FLOYD ST","37.31473912","-121.8790923"
"696050","CR-0000099185","0","0","0","0","23-030-0716","False","True","0","1/30/2023 6:24:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","West Of","","False","False","61929","FLOYD ST","VINE ST","37.314107","-121.8800444"
"690085","CR-0000096161","0","0","0","0","22-200-9710","False","True","","7/16/2022 11:30:00 PM","No Pedestrians Involved","Unknown","Other","Unknown","Unknown","Unknown","Unknown","Broadside","Related","Parked Vehicle","Not Applicable","Not Applicable","Unknown","","False","True","61929","FLOYD ST","VINE ST","37.314107","-121.8800444"
"690845","CR-0000096986","1","0","0","0","23-020-1087","False","False","0","1/20/2023 8:56:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Motor Vehicle On Other Roadway","Not Applicable","Not Applicable","At","","False","False","61874","FLOYD ST","LOCUST ST","37.31352282","-121.8809256"
"683003","CR-0000092541","0","0","0","0","22-162-0634","False","False","275","6/11/2022 5:03:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of","","False","False","61874","FLOYD ST","LOCUST ST","37.31352282","-121.8809256"
"699213","CR-0000100534","0","0","0","0","23-160-4002","False","True","51","6/8/2023 9:30:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of","","False","False","61896","FLOYD ST","PALM ST","37.31293683","-121.8818125"
"715880","CR-0000101955","0","0","0","0","24-001-0740","False","False","0","1/1/2024 7:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At","","False","False","61203","FLICKINGER AV","ULSTER DR","37.38656919","-121.8744592"
"716148","CR-0000102085","1","0","0","0","24-013-0189","False","False","116","1/13/2024 6:24:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Cloudy","Sideswipe","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of","","False","False","71323","HEATHERFIELD LN","PENITENCIA CREEK RD","37.38519869","-121.8535238"
"685033","CR-0000093681","0","0","0","0","22-209-0046","False","False","104","7/28/2022 1:10:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of","","False","True","43405","CORLISTA DR","FRUITDALE AV","37.31070434","-121.9185412"
"685045","CR-0000093720","2","0","0","0","22-241-0566","False","False","0","8/29/2022 2:39:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Not Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"685267","CR-0000093947","0","0","0","0","22-233-9705","False","True","0","7/30/2022 11:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"688871","CR-0000094727","0","0","0","0","22-269-9704","False","True","20","9/23/2022 2:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","East Of","","False","True","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"696038","CR-0000099173","0","0","0","0","23-206-0295","False","False","100","7/25/2023 9:45:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"696287","CR-0000099443","1","0","0","0","23-289-0630","False","False","0","10/16/2023 3:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Bike At Fault","Controls Functioning","Clear","Vehicle/Bike","Intersection","Scooter Motorized","Not Applicable","Not Applicable","At","E.SCOOTER","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"690846","CR-0000096987","2","0","0","0","23-023-0443","False","False","0","1/23/2023 2:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"690955","CR-0000097125","1","0","0","0","23-041-0827","False","False","100","2/10/2023 6:50:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of","","True","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
